brand_id, active,brand_name,is_deleted,description,category_id,flavour_id,created_at,is_deleted,description,flavour_name,updated_at, brand_id,is_active,id,created_at,description ,is_active ,is_deleted,name
22,1,ChiBooks,0,Everyday products designed with quality in mind.,648,48,4/30/2024 18:37,0,Sweet and warm with caramelized sugar,Gourmet cooking spices,4/30/2024 18:37,399,1,48,4/30/2024 18:37,Health and wellness products for unique offerings that promote wellness.,1,0,Home Appliances
23,1,PsiEnergy,0,Digital media solutions that engage audiences.,497,49,11/19/2023 22:40,0,Bold and robust with espresso flavor,Outdoor adventure equipment,11/19/2023 22:40,736,1,49,11/19/2023 22:40,High-quality innovative solutions for smarter living.,1,0,Cleaning Supplies
24,1,OmegaSolutions,0,Fresh and organic produce delivered daily.,464,50,3/3/2025 7:55,0,Juicy and tropical with mango sweetness,High-end fitness trackers,3/3/2025 7:55,581,1,50,3/3/2025 7:55,Specialty corporate efficiency designed for daily use.,1,0,Photography
25,1,ApexFoods,0,Comfortable and stylish clothing options.,194,51,9/26/2024 12:06,0,Smoky and savory with bacon undertones,Handmade jewelry boxes,9/26/2024 12:06,117,1,51,9/26/2024 12:06,Leading provider of fashion and apparel sourced from trusted suppliers.,1,0,Musical Instruments
26,1,NovaWear,0,Health supplements for a better lifestyle.,275,52,7/14/2023 6:22,0,Floral and delicate with chamomile notes,Sustainable fashion accessories,7/14/2023 6:22,621,1,52,7/14/2023 6:22,Creative solutions for technology-driven services for trendsetters.,1,0,Craft Supplies
27,1,VegaDrinks,0,Electronics designed for modern needs.,501,53,5/18/2025 15:40,0,Tangy and spicy with tamarind twist,Delicious gluten-free treats,5/18/2025 15:40,375,1,53,5/18/2025 15:40,Fresh and organic produce for modern businesses.,1,0,Hobbies & Leisure
28,1,LunaGoods,0,Delicious snacks made with care.,68,54,1/15/2024 21:19,0,Creamy and rich with dulce de leche,Natural skin serums,1/15/2024 21:19,4,1,54,1/15/2024 21:19,Advanced technology-driven services for innovative solutions.,1,0,Gift & Wrap
29,1,OrionMedia,0,Beauty products that enhance natural beauty.,693,55,10/8/2023 9:33,0,Fresh and crisp with green apple bite,Premium outdoor lighting,10/8/2023 9:33,96,1,55,10/8/2023 9:33,Comprehensive home and lifestyle products to enhance productivity.,1,0,Bicycles
30,1,StellarFresh,0,Sports gear for professionals and enthusiasts.,382,56,12/3/2025 3:51,0,Nutty and toasty with almond crunch,Designer handbags,12/3/2025 3:51,141,1,56,12/3/2025 3:51,Fun and educational unique offerings for children of all ages.,1,0,Swimming
31,1,CosmoCloth,0,Fun and educational toys for kids.,528,57,6/23/2024 14:27,0,Sweet and bright with orange blossom,Healthy meal replacements,6/23/2024 14:27,30,1,57,6/23/2024 14:27,Eco-friendly solutions for fashion and apparel to reduce environmental impact.,1,0,Winter Sports
32,1,QuantumHealth,0,Reliable tools for home and workshop.,404,58,2/20/2023 17:39,0,Sharp and aromatic with star anise,Organic baby care,2/20/2023 17:39,204,1,58,2/20/2023 17:39,High-quality corporate efficiency crafted with care.,1,0,Water Sports
33,1,VertexElectronics,0,Home essentials designed for convenience.,362,59,4/27/2025 11:42,0,Earthy and rich with mushroom depth,Specialty coffee roasters,4/27/2025 11:42,769,1,59,4/27/2025 11:42,Reliable tools and equipment for smarter living.,1,0,Fishing
34,1,NimbusSnacks,0,Specialty coffee beans roasted to perfection.,710,60,8/10/2024 20:56,0,Light and fruity with raspberry tartness,Quality running gear,8/10/2024 20:56,786,1,60,8/10/2024 20:56,Specialty cutting-edge designs for trendsetters.,1,0,Hunting
35,1,HelixBeauty,0,Natural fruit juices with fresh flavors.,742,61,5/16/2023 13:48,0,Spicy and sweet with clove warmth,Innovative wireless chargers,5/16/2023 13:48,755,1,61,5/16/2023 13:48,Health and wellness products for digital marketing that promote wellness.,1,0,Camping Gear
36,1,PinnacleSports,0,Freshly baked pastries and bread.,813,62,7/21/2025 8:17,0,Smooth and mellow with vanilla bean,Comfortable yoga pants,7/21/2025 8:17,138,1,62,7/21/2025 8:17,Creative solutions for home and lifestyle products designed for daily use.,1,0,Ethnic & Regional
37,1,SummitToys,0,Products to keep pets healthy and happy.,948,63,10/5/2024 18:05,0,Bright and fresh with mint leaf,Natural hair oils,10/5/2024 18:05,474,1,63,10/5/2024 18:05,Leading provider of premium experiences for modern businesses.,1,0,Organic Products
38,1,ZenithTools,0,Smart technology solutions for daily life.,777,64,1/3/2023 22:30,0,Sweet and juicy with strawberry burst,Gourmet cheese boards,1/3/2023 22:30,835,1,64,1/3/2023 22:30,Fun and educational children of all ages for innovative solutions.,1,0,Vintage
39,1,HorizonHome,0,Nutritious and tasty food items.,290,65,2/11/2025 6:13,0,Bold and smoky with hickory flavor,Outdoor travel gear,2/11/2025 6:13,541,1,65,2/11/2025 6:13,Premium home and lifestyle products for balanced life.,1,0,Retro Items
40,1,AuroraCoffee,0,Stylish apparel for modern lifestyles.,760,66,5/27/2024 15:26,0,Tangy and crisp with lime splash,High-end audio headphones,5/27/2024 15:26,793,1,66,5/27/2024 15:26,Advanced technology-driven services for home and lifestyle products.,1,0,DIY
41,1,SierraJuice,0,Refreshing beverages for all occasions.,980,67,9/14/2023 10:35,0,Creamy and buttery with corn silk,Handmade home decor,9/14/2023 10:35,891,1,67,9/14/2023 10:35,Comprehensive corporate efficiency designed for daily use.,1,0,Green Energy
42,1,TitanBakery,0,Everyday essentials made with care.,48,68,11/9/2025 21:04,0,Fruity and vibrant with cherry notes,Sustainable gardening tools,11/9/2025 21:04,105,1,68,11/9/2025 21:04,High-quality unique offerings sourced from trusted suppliers.,1,0,Wearable Tech
43,1,AtlasPets,0,Creative solutions for digital media campaigns.,409,69,3/22/2024 7:54,0,Spicy and aromatic with nutmeg spice,Delicious organic teas,3/22/2024 7:54,385,1,69,3/22/2024 7:54,Innovative fashion and apparel for trendsetters.,1,0,Gaming
44,1,FusionTech,0,Fresh groceries sourced from trusted farms.,541,70,8/2/2023 14:22,0,Light and zesty with tangerine peel,Natural bath bombs,8/2/2023 14:22,629,1,70,8/2/2023 14:22,Specialty innovative solutions for smarter living.,1,0,Board Games
45,1,PrimeFoods,0,High-quality fabrics for fashion and interiors.,246,71,6/15/2025 12:41,0,Sweet and rich with molasses undertones,Premium workout gear,6/15/2025 12:41,328,1,71,6/15/2025 12:41,Reliable tools and equipment for home and lifestyle products.,1,0,Card Games
46,1,NextWear,0,Health supplements for a balanced lifestyle.,427,72,12/29/2024 17:08,0,Fresh and herbal with thyme essence,Designer men's shoes,12/29/2024 17:08,704,1,72,12/29/2024 17:08,Creative solutions for digital marketing to enhance productivity.,1,0,Puzzles
47,1,CoreDrinks,0,Electronics that make life easier.,596,73,4/8/2023 19:52,0,Nutty and creamy with cashew butter,Healthy snack mixes,4/8/2023 19:52,701,1,73,4/8/2023 19:52,Eco-friendly solutions for innovative solutions to reduce environmental impact.,1,0,Educational
48,1,EpicGoods,0,Delicious snacks made with care.,563,74,1/25/2025 5:27,0,Sharp and tangy with tamarillo zest,Organic skincare kits,1/25/2025 5:27,909,1,74,1/25/2025 5:27,Health and wellness products for cutting-edge designs that promote wellness.,1,0,Kids Clothing
49,1,AlphaMedia,0,Beauty products for every occasion.,943,75,7/18/2024 10:46,0,Earthy and smooth with dark rye,Specialty baking tools,7/18/2024 10:46,930,1,75,7/18/2024 10:46,Fun and educational home and lifestyle products for children of all ages.,1,0,Men’s Clothing
50,1,BetaFresh,0,Sports gear and apparel for all levels.,328,76,11/30/2023 15:18,0,Bold and aromatic with coffee notes,Quality yoga blocks,11/30/2023 15:18,107,1,76,11/30/2023 15:18,Leading provider of innovative solutions for trendsetters.,1,0,Women’s Clothing
51,1,GammaCloth,0,Fun and safe toys for children.,478,77,3/19/2025 20:30,0,Sweet and floral with elderflower aroma,Innovative smart lighting,3/19/2025 20:30,588,1,77,3/19/2025 20:30,Premium corporate efficiency crafted with care.,1,0,Unisex Clothing
52,1,DeltaHealth,0,Durable and reliable tools.,292,78,2/11/2024 9:14,0,Tangy and refreshing with yuzu citrus,Comfortable winter jackets,2/11/2024 9:14,410,1,78,2/11/2024 9:14,Advanced technology-driven services for digital marketing.,1,0,Luxury Fashion
53,1,EpsilonElectronics,0,Home essentials designed with quality.,685,79,6/22/2023 13:49,0,Creamy and smooth with panna cotta,Natural beard oils,6/22/2023 13:49,568,1,79,6/22/2023 13:49,Creative solutions for fashion and apparel designed for daily use.,1,0,Casual Wear
54,1,ZetaSnacks,0,Specialty coffee with rich flavors.,804,80,8/29/2025 6:07,0,Fresh and bright with cucumber slice,Gourmet dessert toppings,8/29/2025 6:07,558,1,80,8/29/2025 6:07,High-quality home and lifestyle products for modern businesses.,1,0,Formal Wear
55,1,EtaBeauty,0,Natural fruit juices with vitamins.,764,81,4/14/2024 22:55,0,Spicy and bold with cayenne heat,Outdoor fishing accessories,4/14/2024 22:55,459,1,81,4/14/2024 22:55,Innovative unique offerings sourced from trusted suppliers.,1,0,Workwear
56,1,ThetaSports,0,Freshly baked artisan bread and pastries.,35,82,10/31/2023 11:33,0,Light and fruity with melon sweetness,High-quality hiking gear,10/31/2023 11:33,565,1,82,10/31/2023 11:33,Reliable tools and equipment for corporate efficiency.,1,0,Outerwear
57,1,IotaToys,0,Pet products to keep pets healthy and happy.,1000,83,5/4/2025 18:40,0,Buttery and sweet with pecan crunch,Handcrafted pottery bowls,5/4/2025 18:40,695,1,83,5/4/2025 18:40,Specialty premium experiences for trendsetters.,1,0,Activewear
58,1,KappaTools,0,Innovative technology for everyday life.,218,84,1/27/2024 7:23,0,Juicy and tart with cranberry splash,Sustainable travel accessories,1/27/2024 7:23,153,1,84,1/27/2024 7:23,Health and wellness products for smarter living.,1,0,Underwear
59,1,LambdaHome,0,Delicious and nutritious food items.,212,85,7/2/2023 14:16,0,Smoky and earthy with peat flavor,Delicious vegan snacks,7/2/2023 14:16,146,1,85,7/2/2023 14:16,Fun and educational children of all ages for balanced life.,1,0,Swimwear
60,1,MuCoffee,0,Trendy and fashionable apparel.,542,86,9/11/2025 21:01,0,Sweet and rich with fig syrup,Natural body scrubs,9/11/2025 21:01,782,1,86,9/11/2025 21:01,Creative solutions for home and lifestyle products to enhance productivity.,1,0,Accessories
61,1,NuJuice,0,Refreshing beverages for everyone.,997,87,6/8/2024 4:39,0,Sharp and fresh with lemongrass,Premium ski apparel,6/8/2024 4:39,978,1,87,6/8/2024 4:39,Leading provider of cutting-edge designs for modern businesses.,1,0,Eyewear
62,1,XiBakery,0,Everyday essentials made with care.,444,88,2/15/2023 17:22,0,Earthy and woody with cedar notes,Designer leather shoes,2/15/2023 17:22,145,1,88,2/15/2023 17:22,Premium home and lifestyle products for innovative solutions.,1,0,Hats & Caps
63,1,OmicronPets,0,Creative digital media solutions.,512,89,12/25/2025 10:50,0,Smooth and creamy with ricotta cheese,Healthy energy bars,12/25/2025 10:50,826,1,89,12/25/2025 10:50,Advanced technology-driven services designed for daily use.,1,0,Scarves & Gloves
64,1,PiTech,0,Fresh groceries delivered daily.,286,90,9/3/2024 15:36,0,Fruity and vibrant with passion fruit,Organic baby toys,9/3/2024 15:36,798,1,90,9/3/2024 15:36,Fun and educational unique offerings for children of all ages.,1,0,Belts
65,1,RhoFoods,0,High-quality fabrics for fashion and interiors.,74,91,5/7/2023 12:48,0,Spicy and warm with gingerbread spice,Specialty espresso machines,5/7/2023 12:48,21,1,91,5/7/2023 12:48,Eco-friendly solutions for corporate efficiency to reduce environmental impact.,1,0,Wallets
66,1,SigmaWear,0,Health products promoting wellness.,819,92,7/29/2025 8:24,0,Light and zesty with blood orange,Quality running gear,7/29/2025 8:24,906,1,92,7/29/2025 8:24,High-quality digital marketing crafted with care.,1,0,Sunglasses
67,1,TauDrinks,0,Electronics for modern living.,177,93,10/20/2024 19:17,0,Sweet and nutty with walnut crunch,Innovative smartphone accessories,10/20/2024 19:17,552,1,93,10/20/2024 19:17,Reliable tools and equipment for trendsetters.,1,0,Footwear
68,1,UpsilonGoods,0,Tasty snacks made from natural ingredients.,302,94,1/26/2023 23:03,0,Bold and rich with dark caramel,Comfortable athletic wear,1/26/2023 23:03,353,1,94,1/26/2023 23:03,Specialty innovative solutions for fashion and apparel.,1,0,Sneakers
69,1,PhiMedia,0,Beauty products for natural glow.,894,95,2/8/2025 14:27,0,Tangy and fresh with grapefruit tang,Natural lip balms,2/8/2025 14:27,949,1,95,2/8/2025 14:27,Health and wellness products for home and lifestyle products that promote wellness.,1,0,Boots
70,1,ChiFresh,0,Sports equipment and apparel for all levels.,838,96,5/16/2024 11:56,0,Creamy and mellow with mascarpone,Gourmet spice racks,5/16/2024 11:56,569,1,96,5/16/2024 11:56,Creative solutions for premium experiences for trendsetters.,1,0,Sandals
71,1,PsiCloth,0,Fun and educational toys for children.,642,97,9/28/2023 5:40,0,Fresh and crisp with snap pea,Outdoor camping gear,9/28/2023 5:40,882,1,97,9/28/2023 5:40,Leading provider of innovative solutions for smarter living.,1,0,Slippers
72,1,OmegaHealth,0,Durable tools for home and workshop.,514,98,11/19/2025 17:58,0,Nutty and buttery with macadamia,High-end fitness apparel,11/19/2025 17:58,776,1,98,11/19/2025 17:58,Fun and educational children of all ages for modern businesses.,1,0,Dress Shoes
73,1,ApexElectronics,0,Home essentials with quality and design.,129,99,3/1/2024 22:07,0,Sharp and spicy with horseradish,Handmade jewelry pieces,3/1/2024 22:07,468,1,99,3/1/2024 22:07,Premium corporate efficiency sourced from trusted suppliers.,1,0,Work Shoes
74,1,NovaSnacks,0,Specialty coffee roasted to perfection.,537,100,8/25/2023 13:14,0,Earthy and sweet with roasted beet,Sustainable fashion lines,8/25/2023 13:14,476,1,100,8/25/2023 13:14,Advanced technology-driven services for unique offerings.,1,0,Safety Shoes
75,1,VegaBeauty,0,Fresh natural fruit juices.,696,101,6/2/2025 9:49,0,Sweet and aromatic with vanilla orchid,Delicious gluten-free meals,6/2/2025 9:49,283,1,101,6/2/2025 9:49,Comprehensive home and lifestyle products designed for daily use.,1,0,Socks
76,1,LunaSports,0,Artisan bakery products made fresh.,429,102,12/15/2024 16:42,0,Bright and citrusy with kaffir lime,Natural skin toners,12/15/2024 16:42,501,1,102,12/15/2024 16:42,High-quality cutting-edge designs for trendsetters.,1,0,Ties & Bowties
77,1,OrionToys,0,Pet care products for happy animals.,201,103,4/23/2023 8:31,0,Smooth and rich with butterscotch,Premium outdoor lighting,4/23/2023 8:31,940,1,103,4/23/2023 8:31,Innovative fashion and apparel for digital marketing.,1,0,Cufflinks
78,1,StellarTools,0,Smart technology solutions for daily life.,283,104,1/6/2025 20:03,0,Fruity and tart with blackcurrant,Designer fashion scarves,1/6/2025 20:03,420,1,104,1/6/2025 20:03,Specialty unique offerings for balanced life.,1,0,Watches & Jewelry
79,1,CosmoHome,0,Delicious and nutritious food products.,104,105,7/29/2024 12:18,0,Spicy and warm with allspice,Healthy protein bars,7/29/2024 12:18,966,1,105,7/29/2024 12:18,Reliable tools and equipment for home and lifestyle products.,1,0,Necklaces
80,1,QuantumCoffee,0,Fashionable clothing for modern lifestyles.,263,106,11/14/2023 7:05,0,Light and floral with lavender honey,Organic hair care kits,11/14/2023 7:05,818,1,106,11/14/2023 7:05,Creative solutions for innovative solutions to enhance productivity.,1,0,Bracelets
81,1,VertexJuice,0,Refreshing drinks for all ages.,822,107,3/28/2025 15:46,0,Sweet and creamy with white chocolate,Specialty cocktail glasses,3/28/2025 15:46,670,1,107,3/28/2025 15:46,Eco-friendly solutions for smarter living to reduce environmental impact.,1,0,Earrings
82,1,NimbusBakery,0,Everyday essentials made with quality.,705,108,2/18/2024 18:23,0,Bold and smoky with smoked paprika,Quality outdoor shoes,2/18/2024 18:23,312,1,108,2/18/2024 18:23,Health and wellness products for premium experiences that promote wellness.,1,0,Rings
83,1,HelixPets,0,Digital media solutions for businesses.,217,109,6/30/2023 6:14,0,Tangy and fresh with lime zest,Innovative fitness trackers,6/30/2023 6:14,489,1,109,6/30/2023 6:14,Fun and educational home and lifestyle products for children of all ages.,1,0,Body Jewelry
84,1,PinnacleTech,0,Fresh groceries sourced from trusted farms.,975,110,8/5/2025 11:56,0,Creamy and soft with coconut milk,Comfortable sleepwear sets,8/5/2025 11:56,337,1,110,8/5/2025 11:56,Leading provider of digital marketing for modern businesses.,1,0,Hair Accessories
85,1,SummitFoods,0,Comfortable and stylish fabrics.,384,111,4/22/2024 20:41,0,Fresh and crisp with green grape,Natural facial moisturizers,4/22/2024 20:41,391,1,111,4/22/2024 20:41,category_description,1,0,Makeup
86,1,ZenithWear,0,Wellness products for a healthier life.,782,112,10/10/2023 16:33,0,Nutty and rich with pistachio,Gourmet baking tools,10/10/2023 16:33,731,1,112,10/10/2023 16:33,Advanced technology-driven services for innovative solutions.,1,0,Skincare
87,1,HorizonDrinks,0,Electronics for modern living.,395,113,5/23/2025 10:29,0,Sharp and pungent with wasabi,Outdoor picnic gear,5/23/2025 10:29,244,1,113,5/23/2025 10:29,Fun and educational children of all ages for smarter living.,1,0,Fragrances
88,1,AuroraGoods,0,Delicious snacks for all ages.,765,114,1/12/2024 5:41,0,Earthy and deep with truffle aroma,High-quality sports equipment,1/12/2024 5:41,455,1,114,1/12/2024 5:41,Reliable tools and equipment for digital marketing.,1,0,Nail Care
89,1,SierraMedia,0,Beauty products for everyone.,848,115,7/26/2023 13:48,0,Sweet and juicy with peach slices,Handcrafted wooden furniture,7/26/2023 13:48,278,1,115,7/26/2023 13:48,Eco-friendly solutions for home and lifestyle products to reduce environmental impact.,1,0,Bath & Body
90,1,TitanFresh,0,Sports gear for professionals and amateurs.,545,116,9/17/2025 19:12,0,Spicy and bold with chili flakes,Sustainable home decor,9/17/2025 19:12,503,1,116,9/17/2025 19:12,Health and wellness products for unique offerings that promote wellness.,1,0,Hair Care
91,1,AtlasCloth,0,Safe and fun toys for children.,57,117,6/30/2024 22:55,0,Light and citrusy with lemon balm,Delicious organic snacks,6/30/2024 22:55,110,1,117,6/30/2024 22:55,Creative solutions for cutting-edge designs for trendsetters.,1,0,Men’s Grooming
92,1,FusionHealth,0,Reliable tools for home and workshop.,252,118,2/3/2023 7:17,0,Buttery and smooth with ghee notes,Natural bath salts,2/3/2023 7:17,825,1,118,2/3/2023 7:17,Leading provider of premium experiences for modern businesses.,1,0,Oral Care
93,1,PrimeElectronics,0,Home essentials made with quality.,144,119,12/12/2025 16:07,0,Juicy and tropical with papaya,Premium workout supplements,12/12/2025 16:07,583,1,119,12/12/2025 16:07,Specialty innovative solutions for corporate efficiency.,1,0,Health Supplements
94,1,NextSnacks,0,Specialty coffee roasted to perfection.,661,120,9/14/2024 10:36,0,Smoky and intense with mesquite wood,Designer sunglasses cases,9/14/2024 10:36,254,1,120,9/14/2024 10:36,High-quality fashion and apparel sourced from trusted suppliers.,1,0,Medical Supplies
95,1,CoreBeauty,0,Natural fruit juices with vitamins.,915,121,5/25/2023 21:05,0,Floral and delicate with hibiscus,Healthy hydration drinks,5/25/2023 21:05,688,1,121,5/25/2023 21:05,Fun and educational home and lifestyle products for children of all ages.,1,0,Fitness Equipment
96,1,EpicSports,0,Artisan bread and pastries baked daily.,305,122,7/8/2025 13:23,0,Tangy and spicy with tamarind paste,Organic face creams,7/8/2025 13:23,812,1,122,7/8/2025 13:23,Creative solutions for innovative solutions designed for daily use.,1,0,Yoga & Pilates
97,1,AlphaToys,0,Pet products to keep pets healthy and happy.,967,123,10/28/2024 6:49,0,Creamy and sweet with honeycomb,Specialty tea infusers,10/28/2024 6:49,955,1,123,10/28/2024 6:49,Premium corporate efficiency for balanced life.,1,0,Cardio Equipment
98,1,BetaTools,0,Smart technology for everyday life.,79,124,1/15/2023 14:31,0,Fresh and bright with snow pea,Quality hiking shoes,1/15/2023 14:31,872,1,124,1/15/2023 14:31,Advanced technology-driven services for smarter living.,1,0,Strength Training
99,1,GammaHome,0,Delicious and nutritious food products.,358,125,2/24/2025 20:04,0,Nutty and crunchy with toasted sesame,Innovative smart appliances,2/24/2025 20:04,8,1,125,2/24/2025 20:04,Reliable tools and equipment for home and lifestyle products.,1,0,Outdoor Sports
100,1,DeltaCoffee,0,Trendy clothing for all occasions.,301,126,5/2/2024 12:17,0,Sharp and aromatic with clove,Comfortable sports clothing,5/2/2024 12:17,829,1,126,5/2/2024 12:17,Specialty unique offerings for trendsetters.,1,0,Team Sports
101,1,EpsilonJuice,0,Refreshing beverages made naturally.,39,127,9/6/2023 18:47,0,Earthy and robust with shiitake mushroom,Natural lipsticks,9/6/2023 18:47,848,1,127,9/6/2023 18:47,Health and wellness products for digital marketing that promote wellness.,1,0,Water Activities
102,1,ZetaBakery,0,Everyday essentials for modern homes.,165,128,11/26/2025 7:59,0,Light and fruity with lychee,Gourmet cooking oils,11/26/2025 7:59,346,1,128,11/26/2025 7:59,Fun and educational children of all ages for innovative solutions.,1,0,Winter Activities
103,1,EtaPets,0,Creative solutions for digital media campaigns.,521,129,3/18/2024 15:29,0,Spicy and warm with star anise,Outdoor adventure gear,3/18/2024 15:29,362,1,129,3/18/2024 15:29,Creative solutions for premium experiences to enhance productivity.,1,0,Motor Sports
104,1,ThetaTech,0,Fresh groceries sourced from trusted suppliers.,886,130,8/7/2023 9:54,0,Sweet and rich with caramelized banana,High-end sound equipment,8/7/2023 9:54,219,1,130,8/7/2023 9:54,Leading provider of corporate efficiency for modern businesses.,1,0,Cycling
105,1,IotaFoods,0,High-quality fabrics for fashion and interiors.,756,131,6/10/2025 21:13,0,Bold and smoky with chipotle,Handmade ceramic mugs,6/10/2025 21:13,266,1,131,6/10/2025 21:13,High-quality home and lifestyle products crafted with care.,1,0,Running
106,1,KappaWear,0,Health products for a balanced lifestyle.,898,132,12/5/2024 11:45,0,Tangy and fresh with calamansi,Sustainable fashion brands,12/5/2024 11:45,554,1,132,12/5/2024 11:45,Innovative fashion and apparel for balanced life.,1,0,Hiking
107,1,LambdaDrinks,0,Electronics that make life easier.,748,133,4/30/2023 6:36,0,Creamy and smooth with cream cheese,Delicious vegan meals,4/30/2023 6:36,148,1,133,4/30/2023 6:36,Specialty cutting-edge designs designed for daily use.,1,0,Climbing
